mdl_raw,mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_sec,sdc_score,ltk_raw,ltk_score,x2mr_finish,two_mr_sec,x2mr_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_time,age,hgt_in,wt_lb,bmi,sex,acft_score
240,78,10,83,37,77,1:31,91S,100,13,86,16:35:00,995,79,90,81,749,308,884,2.39,21,70,208,29.61972529,Male,503
220,74,9.6,81,30,70,1:50,110S,90,10,80,17:12:00,1032,75,70,73,837,277,770,2.54,21,76,191,23.79802739,Male,470
300,90,11.5,93,27,68,1:39,99S,98,8,76,12:55:00,775,100,70,85,692,299,860,2.41,21,74,205,27.10304129,Male,525
240,78,7,67,42,82,1:50,110S,90,10,80,14:23:00,863,94,79,84,777,296,884,2.39,21,64,158,26.34755135,Male,491
200,70,7.3,68,26,68,2:00,120S,80,3,65,14:36:00,876,92,40,65,818,275,884,3.39,22,65,157,26.48931079,Female,443
260,82,12,97,35,75,1:34,94S,100,5,70,15:11:00,911,88,66,72,829,259,710,3.13,22,74,245,31.26458873,Male,512
220,74,8.1,71,36,76,1:35,95S,100,9,78,13:33:00,813,99,62,83,722,283,830,2.44,21,75,172,21.41822465,Male,498
260,82,7.6,69,29,69,1:53,113S,87,8,76,14:36:00,876,92,73,83,787,297,788,2.51,23,71,206,29.04458499,Male,475
260,82,10.1,84,23,66,1:39,99S,98,7,74,15:27:00,927,86,61,72,860,242,690,3.15,21,74,206,26.57420146,Male,490
300,90,11,90,36,76,1:29,89S,100,12,84,15:06:00,906,89,99,90,768,341,758,2.58,24,70,188,26.88780888,Male,529
200,70,5,62,22,66,1:52,112S,88,11,82,15:51:00,951,84,55,96,840,340,950,3.11,22,69,136,20.72196658,Female,452
240,78,6.5,65,33,73,1:42,102S,97,9,78,17:53:00,1073,70,87,84,851,287,788,2.51,22,68,164,24.26920513,Male,461
160,63,4.6,61,30,70,1:58,118S,82,13,86,15:41:00,941,85,73,87,897,339,946,3.13,22,63,138,23.04914056,Female,447
240,78,8,70,48,88,1:52,112S,88,13,86,14:35:00,875,92,91,87,735,327,926,2.32,22,62,145,26.50807872,Male,502
260,82,10.4,86,45,85,1:41,101S,97,10,80,14:37:00,877,92,78,79,776,298,750,2.59,22,68,179,26.34096655,Male,522
300,90,9.3,79,46,86,1:38,98S,99,15,90,14:24:00,864,93,76,91,741,328,940,2.29,21,68,179,27.30923463,Male,537
340,100,12.7,100,31,71,1:29,89S,100,11,82,14:21:00,861,94,75,75,733,294,896,2.37,21,73,195,25.78094172,Male,547
170,64,5.9,64,7,45,2:03,123S,77,0,0,17:08:00,1028,75,42,64,947,267,758,4.34,21,67,168,27.17260631,Female,325
340,100,12.2,98,30,70,1:33,93S,100,5,70,14:29:00,869,93,65,86,794,284,762,2.56,22,75,262,31.9583238,Male,531
150,62,6.7,66,3,25,1:48,108S,92,0,0,16:53:00,1013,77,53,87,848,334,908,3.27,22,66,166,25.73973839,Female,322
340,100,11.6,94,40,80,1:27,87S,100,15,90,18:00:00,1080,69,89,91,772,330,776,2.53,22,73,199,26.3661442,Male,533
180,65,9.5,80,15,62,1:38,98S,99,5,70,13:55:00,835,97,62,91,862,256,762,2.56,23,71,197,27.39360946,Male,473
220,74,6.6,66,40,80,1:40,100S,98,13,86,14:51:00,891,90,75,78,786,299,762,2.57,21,73,202,26.04536163,Male,494
240,78,10.1,84,48,88,1:37,97S,99,13,86,15:18:00,918,87,92,93,804,296,710,3.12,26,68,165,25.89668802,Male,522
300,90,9.4,79,39,79,1:33,93S,100,11,82,14:18:00,858,94,77,81,767,293,812,2.47,21,73,190,24.4455632,Male,524
200,70,5.8,63,10,60,1:58,118S,82,3,65,15:17:00,917,88,65,83,860,335,796,4.09,21,65,163,27.86537888,Female,428
160,63,6.7,66,11,60,1:53,113S,87,0,0,16:09:00,969,82,45,81,864,312,758,4.26,21,67,167,24.68351901,Female,358
300,90,12.2,98,46,86,1:35,95S,100,16,92,14:49:00,889,91,80,80,817,288,860,2.41,22,72,200,27.18159196,Male,557
260,82,11.6,94,44,84,1:28,88S,100,11,82,15:08:00,908,89,80,75,797,283,914,2.34,22,68,171,25.75009082,Male,531
260,82,11,90,46,86,1:30,90S,100,10,80,13:13:00,793,100,83,94,765,318,812,2.47,22,72,222,29.62793524,Male,538
340,100,14.3,100,40,80,1:35,95S,100,11,82,15:06:00,906,89,75,81,784,289,806,2.48,22,75,195,23.92328017,Male,551
340,100,10.3,85,35,75,1:33,93S,100,10,80,15:00:00,900,89,85,84,768,294,944,2.28,21,72,201,27.39360946,Male,529
260,82,9.3,79,25,67,1:39,99S,98,8,76,15:10:00,910,88,84,83,738,322,940,2.29,23,74,189,23.67359805,Male,490
220,74,8.1,71,36,76,1:50,110S,90,11,82,13:27:00,807,100,90,83,755,310,806,2.48,23,69,181,27.57849964,Male,493
240,78,9.6,81,29,69,2:02,122S,78,3,65,17:49:00,1069,71,75,81,900,272,690,3.21,21,72,221,29.49202728,Male,442
300,90,6.3,65,24,67,1:56,116S,84,16,92,15:34:00,934,86,98,77,852,273,750,2.59,23,67,159,24.17024215,Male,484
260,82,8,70,46,86,1:29,89S,100,20,100,13:39:00,819,98,98,90,722,343,960,2.25,21,66,155,24.17024215,Male,536
260,82,9.5,80,47,87,1:30,90S,100,12,84,14:36:00,876,92,76,89,731,325,836,2.43,21,71,164,22.92118342,Male,525
220,74,9.9,82,18,64,1:34,94S,100,10,80,14:58:00,898,90,73,84,745,314,872,2.4,22,75,180,22.77297204,Male,490
300,90,8.7,75,33,73,1:28,88S,100,14,88,16:12:00,972,81,80,80,818,283,734,3.03,23,72,189,24.45884214,Male,507
260,82,8.8,75,33,73,1:45,105S,95,11,82,14:26:00,866,93,77,93,726,331,914,2.34,22,72,166,22.6416568,Male,500
300,90,10.4,86,37,77,1:34,94S,100,7,74,14:47:00,887,91,75,81,748,313,896,2.37,21,69,191,27.3191641,Male,518
300,90,11.6,94,36,76,1:33,93S,100,16,92,14:51:00,891,90,78,79,796,288,936,2.3,22,70,191,27.67281317,Male,542
340,100,12.3,99,50,90,1:33,93S,100,25,100,14:16:00,856,94,88,91,725,323,914,2.34,21,68,162,25.11193989,Male,583
140,60,8.3,73,16,63,1:50,110S,90,1,60,17:28:00,1048,73,50,69,884,284,772,4.23,21,68,201,30.32111286,Female,419
200,70,7.8,69,23,66,1:49,109S,91,4,68,17:14:00,1034,75,75,77,828,278,690,3.18,22,67,180,28.25093238,Male,439
340,100,11.7,95,38,78,1:27,87S,100,10,80,15:00:00,900,89,67,68,831,265,710,3.12,22,72,244,31.59817985,Male,542
160,63,5,62,20,65,2:33,153S,65,0,0,18:49:00,1129,65,45,79,971,279,758,4.27,21,63,135,24.56016642,Female,320
170,64,5.3,62,14,62,2:10,130S,70,0,0,15:59:00,959,83,46,99,885,328,780,4.13,21,67,157,23.8563429,Female,341
260,82,10.7,88,36,76,1:25,85S,100,15,90,14:07:00,847,95,60,70,782,229,690,3.2,22,73,194,25.82251236,Male,531
220,74,8.8,75,28,69,1:40,100S,98,5,70,13:50:00,830,97,80,84,734,321,830,2.44,22,74,194,25.25210189,Male,483
340,100,12.2,98,47,87,1:26,86S,100,11,82,14:00:00,840,96,77,81,760,297,872,2.4,22,74,205,26.37547609,Male,563
