"","PERIDNUM","A_AGE","A_SEX","A_FNLWGT","A_ERNLWT","AGI","HRSWK","WSAL_VAL"
"5276",9.00207e+21,80,1,108131,0,0,0,0
"5277",6.79294e+21,80,1,348654,0,52587,0,0
"5278",2.15805e+20,0,1,463240,0,0,0,0
"5279",6.02508e+21,52,1,471847,0,35001,40,35000
"5280",6.66491e+21,44,1,77437,303722,0,50,61000
"5281",5.10008e+21,65,1,312171,1345414,0,40,0
"5282",6.06102e+20,70,1,201800,0,20000,40,20000
"5283",9.79905e+20,48,1,406638,1779331,84000,48,48000
"5284",5.00818e+20,31,1,237584,0,48210,40,47700
"5285",2.001e+20,65,1,154292,0,29936,0,0
"5286",7.91372e+21,1,1,168872,0,0,0,0
"5287",9.30657e+20,24,2,290451,1337794,0,0,0
"5288",2.54241e+21,6,2,0,0,0,0,0
"5289",3.21412e+20,27,1,0,0,30075,40,30000
"5290",1.0724e+21,44,2,401519,1573871,0,37,100000
"5291",9.10002e+21,64,2,600813,0,0,0,0
"5292",6.06331e+20,34,2,423740,0,153205,40,45000
"5293",4.06014e+21,31,2,368201,0,27881,35,0
"5294",3.10008e+21,59,1,339819,1374891,13500,0,0
"5295",1.40523e+21,71,1,512098,0,115472,0,0
"5296",2.10203e+21,73,1,0,0,50676,40,21000
"5297",3.10001e+21,33,1,0,0,15000,35,15000
"5298",1.00047e+20,6,1,831586,0,0,0,0
"5299",1.31192e+21,4,1,0,0,0,0,0
"5300",8.63885e+21,26,2,0,0,0,0,0
"5301",2.71268e+21,8,1,0,0,0,0,0
"5302",1.57942e+21,85,1,313813,0,0,0,0
"5303",2.10001e+21,18,1,0,0,0,0,0
"5304",1.26006e+21,33,1,465196,0,50290,40,50000
"5305",9.10004e+21,41,2,0,0,5000,0,0
"5306",2.10005e+21,54,1,377104,0,0,60,230000
"5307",8.08154e+21,11,1,0,0,0,0,0
"5308",4.02113e+20,4,1,0,0,0,0,0
"5309",7.02509e+21,46,1,85979,0,134454,40,102000
"5310",1.00066e+20,16,1,75862,0,0,0,0
"5311",4.52153e+21,56,2,0,0,0,0,0
"5312",4.31884e+21,46,2,468099,0,15000,35,15000
"5313",7.53127e+21,77,2,92742,369165,3,0,0
"5314",5.84729e+21,17,2,0,0,0,0,0
"5315",3.09105e+20,2,1,0,0,0,0,0
"5316",3.2864e+21,14,1,0,0,0,0,0
"5317",6.4336e+21,42,1,65196,255410,75000,40,75000
"5318",1.92824e+21,26,2,401195,1584980,0,25,22219
"5319",7.71327e+21,47,1,0,0,35000,40,35000
"5320",2.0538e+21,2,1,0,0,0,0,0
"5321",6.10003e+21,48,1,0,0,0,60,18000
"5322",1.79053e+21,21,2,187168,743390,20000,40,20000
"5323",2.02219e+21,40,2,0,0,0,33,24000
"5324",2.61107e+21,49,1,0,0,0,50,0
"5325",8.05941e+21,50,1,47676,192017,52390,50,52000
"5326",2.00106e+20,35,2,0,0,0,40,52000
"5327",8.81681e+21,62,1,145097,561105,0,0,0
"5328",2.71297e+21,1,1,0,0,0,0,0
"5329",3.07507e+21,64,1,37521,0,0,60,0
"5330",5.26545e+20,25,1,573052,0,39002,40,39000
"5331",6.06504e+21,28,2,0,0,0,50,40000
"5332",1.69231e+21,43,2,0,0,0,30,24000
"5333",1.85573e+21,36,1,0,0,125135,40,78000
"5334",1.30636e+20,43,2,0,0,0,30,16000
"5335",3.10002e+21,27,2,677705,2688859,6200,30,6200
"5336",8.10001e+21,50,2,526844,0,88662,50,56000
"5337",7.33027e+21,49,2,513989,0,38000,40,38000
"5338",2.96419e+21,76,2,0,0,48326,45,0
"5339",1.91e+20,62,2,285358,1153724,0,0,0
"5340",2.02101e+20,12,2,172108,0,0,0,0
"5341",3.40266e+19,40,1,0,0,0,40,40000
"5342",8.93645e+21,65,1,0,0,2002,0,0
"5343",1.73824e+21,75,2,638939,0,2600,0,0
"5344",1.67455e+21,53,2,0,0,792180,9,125
"5345",1.41262e+21,43,1,0,0,0,35,44000
"5346",8.20598e+20,62,2,311906,0,23987,40,19600
"5347",5.02406e+21,44,2,158271,617395,0,50,25000
"5348",1.02121e+20,75,2,371653,1468049,0,0,0
"5349",2.31796e+21,36,2,0,0,0,40,100000
"5350",3.02403e+21,70,1,175083,0,0,40,75000
"5351",4.61147e+21,55,1,0,0,502202,45,200000
"5352",5.26246e+21,2,2,672481,0,0,0,0
"5353",8.16289e+21,55,1,402890,1594001,0,40,27000
"5354",3.07101e+20,28,1,505311,0,120402,50,65000
"5355",2.08531e+21,13,2,403142,0,0,0,0
"5356",5.1011e+21,13,2,0,0,0,0,0
"5357",4.07106e+20,49,2,492059,0,46731,40,50000
"5358",3.91572e+21,62,2,363524,0,0,0,0
"5359",1.03001e+21,55,1,483016,0,105720,40,100000
"5360",8.3649e+21,51,1,0,0,96628,40,30500
"5361",9.1284e+20,38,2,518113,0,40000,40,40000
"5362",4.60469e+20,71,1,77415,319186,13388,0,0
"5363",1.9751e+21,35,1,0,0,0,35,40000
"5364",1.5453e+21,13,2,0,0,0,0,0
"5365",1.66084e+21,4,2,318876,0,0,0,0
"5366",1.2146e+21,6,1,827654,0,0,0,0
"5367",1.07157e+20,48,1,0,0,9000,0,0
"5368",2.31e+20,76,1,168054,0,6,0,0
"5369",5.00103e+21,31,2,0,0,0,0,0
"5370",2.20108e+20,14,1,245424,0,0,0,0
"5371",4.07113e+20,4,2,298646,0,0,0,0
"5372",7.54842e+20,61,2,0,0,0,0,0
"5373",7.01201e+21,22,1,456137,1829099,25412,33,24000
"5374",3.04506e+21,22,2,460260,0,40060,40,40000
"5375",6.10008e+21,21,2,449179,0,14000,20,14000
"5376",6.04003e+21,37,1,447565,0,32502,40,32500
"5377",5.02346e+21,22,2,623654,0,70000,40,70000
"5378",3.08511e+21,53,1,405108,0,0,40,195000
"5379",1.7412e+21,56,1,392336,0,0,50,165000
"5380",2.65344e+21,15,2,0,0,0,0,0
"5381",3.06104e+20,55,1,450453,0,0,40,190002
"5382",9.10456e+20,64,2,362370,0,6336,0,0
"5383",1.51888e+21,29,2,0,0,102011,42,45000
"5384",6.64381e+21,8,1,75539,0,0,0,0
"5385",5.43415e+21,35,2,437202,0,0,40,20000
"5386",9.64023e+21,25,2,0,0,48005,40,48000
"5387",6.20417e+20,42,1,176723,0,0,40,65000
"5388",1.4831e+21,36,2,166176,0,12000,40,12000
"5389",2.07114e+20,48,1,361963,1455309,0,40,55000
